"","X","artist_name","album_name","song_name","line"
"22",9,"linkin park","Meteora","Numb","I'm tired of being what you want me to beFeeling so faithless, lost under the surfaceI don't know what you're expecting of mePut under the pressure of walking in your shoesCaught in the undertow, just caught in the undertowEvery step that I take is another mistake to youCaught in the undertow, just caught in the undertowI've become so numb, I can't feel you thereBecome so tired, so much more awareI'm becoming this, all I want to doIs be more like me and be less like youCan't you see that you're smothering me?Holding too tightly, afraid to lose control'Cause everything that you thought I would beHas fallen apart, right in front of youCaught in the undertow, just caught in the undertowEvery step that I take is another mistake to youCaught in the undertow, just caught in the undertowAnd every second I waste is more than I can takeI've become so numb, I can't feel you thereBecome so tired, so much more awareI'm becoming this, all I want to doIs be more like me and be less like youAnd I know I may end up failing, tooBut I know you were just like meWith someone disappointed in youI've become so numb, I can't feel you thereBecome so tired, so much more awareI'm becoming this, all I want to doIs be more like me and be less like youI've become so numb, I can't feel you thereI'm tired of being what you want me to beI've become so numb, I can't feel you thereI'm tired of being what you want me to be"
"23",10,"linkin park","Meteora","Somewhere I Belong","(When this began) I had nothin' to sayAnd I'd get lost in the nothingness inside of me(I was confused) And I let it all out to findThat I'm not the only person with these things in mind(Inside of me) But all the vacancy the words revealedIs the only real thing that I've got left to feel(Nothing to lose) Just stuck, hollow, and aloneAnd the fault is my own, and the fault is my ownI wanna heal, I wanna feelWhat I thought was never realI wanna let go of the pain I've held so longErase all the pain 'til it's goneI wanna heal, I wanna feelLike I'm close to something realI wanna find something I've wanted all alongSomewhere I belongAnd I've got nothin' to sayI can't believe I didn't fall right down on my face(I was confused) Lookin' everywhere only to findThat it's not the way I had imagined it all in my mind(So what am I?) What do I have but negativity?'Cause I can't justify the way everyone is lookin' at me(Nothing to lose) Nothin' to gain, hollow, and aloneAnd the fault is my own, and the fault is my ownI wanna heal, I wanna feelWhat I thought was never realI wanna let go of the pain I've held so longErase all the pain 'til it's goneI wanna heal, I wanna feelLike I'm close to something realI wanna find something I've wanted all alongSomewhere I belongI will never know myself until I do this on my ownAnd I will never feel anything else until my wounds are healedI will never be anything 'til I break away from meI will break away, I'll find myself todayI wanna heal, I wanna feelWhat I thought was never realI wanna let go of the pain I've held so longErase all the pain 'til it's goneI wanna heal, I wanna feelLike I'm close to something realI wanna find something I've wanted all alongSomewhere I belongI wanna heal, I wanna feel like I'mSomewhere I belongI wanna heal, I wanna feel like I'mSomewhere I belongSomewhere I belong"
"24",11,"linkin park","Meteora","Starving Artist","Cause every man's gotta do that thing to eatBefore he finds himself face down, passed out in the streetBut I ain't down for this industry9 to 5 to stay alive even though it's killing meAnd I'm hungry for the limelightHungry for the high life, thirsty for the fine wineAnd I'm hungry for that microphoneHungry for the live showsThirsty at the finish lineStarving artists follow your heartI know sometimes getting started's likeThe hardest partBut I'll die starving to follow this markAnd I'm going hungryNow tell me why you would ever wantTo live a life where all you're doingIs passing time until you die?And if I struggle, then I struggle forThe things that I'm trying to accomplishBefore the finish line. YeahI know you feel like every chance thatYou ever had to do the things you loveIs all gone without a traceBut it's the echoes of the pastAnd the happier times you hadTrying to escape show in linesAcross your face. And I trace em togetherYour face a constellationDrawn every morning through the steamAfter my shower's doneAnd there's some major to minorInstead I'm sick of waitingPointing straight to the sunI'll show you how it's doneAnd I'm trying hard to reach youBlowing through your speakersTrying to get inside your mindAnd I'm dying just to break throughStill I gotta eat, tooStill I gotta get byAnd if I shine, then you shine right backAnd we all in this togetherIf you feeling life is still a dreamAnd me? I'm floating down the riverAnd I ain't looking back!While I see packs of ratsTrying to swim upstreamMind is much clearer, life is so realerWine is much sweeterPancakes with the syrup!Cause one day, none of this will every matterIn the long runDJ in Heaven keeping track ofHow many times your song's spunBut in a moment it's history we createWith misery we replace so toBusy us in our day. And still you justCan't mistake the way that it feels to say""I love this song"" and watching the grinSpread on our face. Yeah!That's that shit that's worth living forAdam got a sicker flowSimilar to the kitchen thoughSometimes I swear, it's like I feelI'm on a mission, so had to break outIn flight because I feel like I'm in a prison, yoAnd life is nothing perfect, present tenseCause art is Heaven sent. I went from lawyerTo being my own employer, manThat's why I need to pedal wares and sell mySingle. So please excuse the shameless self-promotionOver strings and snares. YeahYou can give to your heart's contentI'm simply without repentanceI'm needing like every centI need it to pay the rentI need it for live eventsI need it to pay the billsFor the money already spent"
"25",1,"eminem","Music to get murdered by","Alfred (Interlude)","How do you do? Ladies and gentlemenMy name is Alfred Hitchcock and this is Music To Be Murdered ByIt is mood music in a jugular veinSo why don't you relax? Lean back and enjoy yourselfUntil the coroner comes"
"26",2,"eminem","Music to get murdered by","Alfred (Outro)","This concludes our danse macabrePortions of the proceeding were recordedAs for the rest of it, I'm very much afraid it was all in your mindI don't intend to indulge in any post-mortemIf you haven't been murdered, I can only sayBetter luck next timeIf you have been, goodnight wherever you are"
"27",3,"eminem","Music to get murdered by","Darkness","I don't wanna be alone, I don't wanna beI don't wanna be alone in the darknessI don't wanna be alone in the darknessI don't wanna be alone in the darkness anymore(Hello, darkness, my old friend)Here I am, alone againCan't get out of this hole I'm inIt's like the walls are closin' inYou can't help me, no one canI can feel these curtains closin'I go to open 'emBut something pulls 'em closed again(Hello, darkness, my old friend)Feels like I'm loathing in Las VegasHaven't got the vaguest why I'm so lostBut I'd make you this small wagerIf I bet you I'll be in tomorrow's paperWho would the odds favor?(Hello, darkness, my old friend)I'm so much like my father, you would think that I knew himI keep pacin' this room, Valium, then chase it with boozeOne little taste, it'll doMaybe I'll take it and snooze, then tear up the stage in a few(Hello, darkness, my old friend)Fuck the Colt 45, I'ma need somethin' strongerIf I pop any caps, it better be off of vodkaRound after round after round, I'm gettin' loaded (Haha)That's a lot of shots, huh? (Double entendre)(Hello, darkness, my old friend)And I don't wanna be alone in the darkness (Yeah)I don't wanna be alone in the darknessI don't wanna be alone in the darkness anymore(Hello, darkness, my old friend)Now I'm starin' at the room service menu off a benzoI can hear the music continue to crescendoI can see the whole fuckin' venue from my windowThat's when you know you're schizo(Hello, darkness, my old friend)'Cause I keep peekin' out the curtain from the hotelThe music is so loudBut it's almost as though I don't hear no soundI should get ready for the show nowWait, is this the whole crowd? I thought this shit was sold out(Hello, darkness, my old friend)But it's only the opening act, it's early, don't overreactThen something told me relaxAnd just hope for the show to be packedDon't wanna hit the stage before they fill each row to the max'Cause that'd be totally wackYou can't murder a show nobody's at(Hello darkness, my old friend)But what if nobody shows? Panic mode'Bout to snap and go motherfuckin' wacko at any second'Bout to cancel the show just as fans below rush the entrancePlan is a go to wreck shit, cameras in all directions(Hello, darkness, my old friend)The press is 'bout to go ape shit, bananas on all the networksCommando with extra clips, I got ammo for all the hecklersI'm armed to the teeth, another Valium, fall off the bedHit the ground and crawl to the dresserAlcohol on my breath as I reach for the scopeI'm blackin' out, I'm all out of medsWith them benzodiazepines goneNow it's just magazines sprawled out on the floorFuck the media, I'm goin' all out, this is war(Hello, darkness, my old friend)And I don't wanna be alone in the darkness (Yeah)I don't wanna be alone in the darknessI don't wanna be alone in the darkness anymore(Hello, darkness, my old friend)People start to show up, time to start the show upIt's 10:05 PM and the curtain starts to go upAnd I'm already sweatin', but I'm locked and loadedFor rapid fire spittin' for all the concert-goersScopes for sniper vision, surprise from out of nowhereAs I slide the clip in from inside the hotelLeanin' out the window, going Keyser SözeFinger on the trigger, but I'm a licensed ownerWith no prior convictions, so law says sky's the limitSo my supply's infinite, strapped like I'm a soldierGot 'em hopping over walls and climbing fencesSome of them John Travolta, staying alive by inches(Hello, darkness, my old friend)Cops are knockin', oh fuck, thought I blocked the entranceGuess show time is overNo suicide note, just a note for target distanceBut if you'd like to know the reason why I did thisYou'll never find a motive, truth is I have no ideaI am just as stumped, no signs of mental illnessJust tryin' to show ya the reason why we're so fucked'Cause by the time it's over, won't make the slightest difference(Hello, darkness, my old friend)And I don't wanna be alone in the darknessI don't wanna be alone in the darknessI don't wanna be alone in the darkness anymore(Hello, darkness, my old friend)Yeah, we do have some breaking news from the Associated Press right nowJust gonna bring that up because we are hearing—(I've come to talk with you again)We have told you that the shooter is deadAnd we have just learned that police are saying that the Las Vegas shooter killed himself(Hello, darkness, my old friend)That is the bartender there at Mandalay Bay and I believe we're going to hear more from her(I've come to talk with you again)Yeah, we just wanted to share that with youYou can see behind me here, this is what he looks like(Hello, darkness, my old friend)Now we did just tell you that police just earlier...Metro was telling us that he killed himself inside the hotel room(I've come to talk with you again)Good morning, as we come to you on the air(Hello, darkness, my old friend)We bring you breaking news, a school shooting (Crushing news)Another school shooting (Eleven people dead)Reports of a number of fatalities, and this time it is in Santa Fe, Texas(I've come to talk with you again)That is just outside Galveston (That no one saw coming)A mass shooting at a Southern Californian school (A suspect has been...)(Hello, darkness, my old friend)We are following breaking news this morningAnother deadly school shootingThis one in Santa Fe, Texas, that's just outside Houston(I've come to talk with you again)Twenty-six killed and twenty others wounded (Houston affiliate is reporting)At least nine people have been killed (Somber words, making it the deadliest shooting in Texas history)(Hello, darkness, my old friend)Five people deadThe attacker opening fire outside the church during a morning worship sessionHe unloaded the chaotic and terror, making his way inside (Five people killed in a workplace shooting, dozens of officers)(I've come to talk with you again)This, a deadly shooting at a food festival in Northern California(Hello, darkness, my old friend)Three people so far deadBreaking news (Fifteen wounded)A deadly shooting at a newspaper office in Annapolis (A gunman opened fire)(I've come to talk with you again)Newly-released surveillance video shows the moments leading up to a mass shooting in Dayton, OhioAuthorities say the shooter..."
"28",4,"eminem","Music to get murdered by","Eminem - Lock It Up ft. Anderson .Paak","Куплет 1:Скажи бро, ты где это берешь?Детройт? это пулемет, как стрельнетИ заденет кого-тоНовый кузов, уже обкаталНовая грудь, кто тебе надувал?Вот бабло, кладу тебя на стол прямВставляю прям как yayo (я дерзкий да)Сучка, мне не вриНужны лишьМои бабкиБыл безнадежен, озабоченГде жеЧертова пати?Это держи - ох блинЭто так - бодритНет блин черт яДля этого дерьма старыйКуплет 2:Пока подрываю и заряжаю магазинС бедра две валыны - крепко ихСжал по плечам - замах в ширьВ темноте напал, сломал кончикНожа, но в миг - перераз горло имБеспощадный - головорезПределы слил - бескомпромиссныйПозволил упасть фишкамНа последствия наплевать мнеТех дней концовкаВ диване искал мелочовкуЭкономил у KrogerИ почему меня вообще блин должна паритьПодлость предателя Joe а?А как то вам?Мне платят как OprahУ весов поломкаВедь поддержки многоНо подожди, постойкаТвердят мол, что я почти чтоПрипев:Потерял рассудокМне нужно ум мойВернуть обратноПочти что поймалиНо я вернул умЗа него снова взялсяПочти что, но разгадал ихПочти что, но разгадал ихКуплет 3:Так что сиди там в обиде ты жалокУ меня зелень - будто я ХалкЕе загребаю руками большимиА тебя могу вообще растоптатьХочешь курнуть?У меня косяк как у Method ManГотовься умирать от рук вторыхДавай нюхни этих докторскихЛекарств - накроет прямо - ExcedrinВедь без рецепта их можешь взять тыТипа как для меня сгонять в кафеИ майк в руке моей это - оружиеСтавлю все на ранчо, never landГде-то летал, без планов Cinderella ManНо получил шанс и лучше всехИ знаешь теперь по одному нападайДа хоть собирайтесь в толпеВ игре контрацептивВедь эти ShadyДетки обреченныеВыжили после абортаНо мертворожденныеМогу вылечить Neosporin'омЭйфорию они испытываютЯ честный воин, мне легко достается я TrugoyДай мне сигнал - я ScHoolboyНападаю на бит, питбуль в бойИгрушку в ноль простоПрипев"
"29",5,"eminem","Music to get murdered by","Farewell","Ricky RacksFor what it's worthYou were a slut at birthIf the world had a dickYou'd fuck the EarthI tried to get over youIt doesn't workYou're still a cuntI'm still a fucking jerkSame as it ever was, yeahSay it'll change but it never doesAin't gonna ever 'causeYou're the cause of my pain and the medicineNever met someone who played games with my head as muchFate tethered us together like two felonsMust've fell in love with skeletonsEveryone's got 'em, thought that you were Cinderella but (Yeah)Feels like I slept with the (Uh) wicked stepmotherBut how the hell am IStill in love with the motherfucking chick there's at least a million of?They say love the one you withBut this shit is killing usOur love's on some other shitI'm a glutton for punishmentYou're the gloves, I'm the punching mittsIt's above and beyond usCuffing, I'm shoving the girl I love inside of an ovenIf I catch you sucking another dickYou better unsuck it, you snuck in the crib and tried to jump under the covers againWhy am I tucking you in?Probably 'causeI gotta tell myself another lie'Cause that's what helps to get me by'Cause I'm in HellThis is my goodbye, farewellWanna hold you, wanna choke you, wanna love youWanna hate you, wanna kill you, wanna hurt youWanna heal you, yeahWanna lose you, keep you, bruise youBeat, abuse you, treat you mutualIt's juvenile, delusional, as usualYou're beautiful, I'm average (Woo)I'm brutal, you're a savageMy ride or die chick who's always cruising for a bruisingYeah, it's kinda like we're tryna light a dynamite stickThough we might get along like shitFight, hit, bite, spit, unite, splitYeah, you're awful, but you're mineAnd they say love is blind, we see each other fineBut it's no wonder I'm (Yeah) the only one you'll find (Uh)To put up with your shit (What?), I need a plumber line (Yeah)But nothing comes to mind (Nah) besides the number 90 (No)'Cause since '06 you flipped my fucking life, upside downNow the sky's ground, look at my frown, it's a smile nowLook at my mouth, it's my eyebrows, make it rain upwardsWe're on that ninth cloud, two insane lovebirdsI should fly south, 'cause man am I great, ain't lyin' to myselfBut I'm just plain stubborn, I'm Audi five thou'But this is my house, bitch, you get outThen we duke it out, then it dies downThen we say, ""Fuck it"", cry our eyes outThen...I gotta tell myself another lie'Cause that's what helps to get me by'Cause I'm in HellThis is my goodbye, farewellThis relationship is all that it's cracked up to beNever lack lust in that 'cause we act nuts'Cause that's what attracts usTrick you with a back rubTell you to relax then dump your ass in the bathtub (Haha)Yeah, now that's love, may sound patheticBut fuck the world 'cause they out to get usI love you but I won't exchange vowsHey now, don't get carried awayNo way I'll get married, it'll take a rain cloud to wed usYeah, but we're so insane ‘bout each otherMay take the same route and way out as Junior SeauBreak out Berettas, lay down in bed and blow our brains out togetherWho knows how it's gonna play out?Or whether death's what our ending will beOne of us shot in the back while attempting to fleeBut I'll go to bat for you, defending your honorYeah, no contingency fees, something we’re not, nahWe're not pretending to beef, don't cost a penny to be with meTime we're spending is free, we could be broke as a jokeWon't make a difference to me, don't have to give me a thingCould've been a 50 cent ring from out of a vending machineLove unconditionally, there's no other fish in the seaGuess I'm a prisoner, see, addiction is a diseaseI gotta tell myself another lie'Cause that's what helps to get me by'Cause I'm in HellThis is my goodbye, farewellLove you girl, do you feel the same?I don't wanna play games, no games, ahYou're the only one that can out my flameBaby, just play it straight, straight, no games, ah"
"30",6,"eminem","Music to get murdered by","Godzilla","Ugh, you're a monsterI can swallow a bottle of alcohol and I'll feel like GodzillaBetter hit the deck like the card dealerMy whole squad's in here, walking around the partyA cross between a zombie apocalypse and B-Bobby ""TheBrain"" Heenan which is probably theSame reason I wrestle with maniaShady's in this bitch, I'm posse'd upConsider it to cross me a costly mistakeIf they sleepin' on me, the hoes better get insomniaADHD, HydroxycutPass the Courvoisier (Hey, hey)In AA with an AK, melee, finna set it like a playdateBetter vacate, retreat like a vacay, mayday (Ayy)This beat is cray-cray, Ray J, H-A-H-A-H-ALaughing all the way to the bank, I spray flamesThey cannot tame or placate theMonsterYou get in my way, I'ma feed you to the monster (Yeah)I'm normal during the day, but at night, turn to a monster (Yeah)When the moon shines like Ice Road TruckersI look like a villain outta those blockbustersGodzilla, fire spitter, monsterBlood on the dance floor, and on the Louis V carpetFire, Godzilla, fire, monsterBlood on the dance floor, and on the Louis V carpetI'm just a product of Slick Rick and Onyx, told 'em lick the ballsHad 'em just appalled, did so many things that pissed 'em offIt's impossible to list 'em allAnd in the midst of all thisI'm in a mental hospital with a crystal ballTryna see, will I still be like this tomorrow?Risperdal, voices whisperMy fist is balled back up against the wall, pencil drawnThis is just the song to go ballistic onYou just pulled a pistol on the guy with a missile launcherI'm just a Loch Ness, the mythologicalQuick to tell a bitch screw off like a fifth of vodkaWhen you twist the top of the bottle, I'm aMonsterYou get in my way, I'ma feed you to the monster (Yeah)I'm normal during the day, but at night, turn to a monster (Yeah)When the moon shines like Ice Road TruckersI look like a villain outta those blockbustersGodzilla, fire spitter, monsterBlood on the dance floor, and on the Louis V carpetFire, Godzilla, fire, monsterBlood on the dance floor, and on the Louis V carpetIf you never gave a damn (Ayy), raise your hand'Cause I'm about to set trip, vacation plansI'm on point like my index is, so all you will ever get isThe motherfuckin' finger (Finger), prostate exam ('Xam)How can I have all these fans and perspire?Like a liar's pants, I'm on fireAnd I got no plans to retire and I'm still the man you admireThese chicks are spazzin' out, I only get more handsome and flyerI got 'em passin' out like what you do when you hand someone flyersAnd what goes around comes around just like the blades on the chainsaw'Cause I caught the flack, but my dollars stacked right off the bat like a baseballLike Kid Ink, bitch, I got them racks with so much ease that they call me Diddy'Cause I make bands and I call getting cheese a cakewalk (Cheesecake, yeah)Bitch, I'm a player, I'm too motherfuckin' stingy for CherWon't even lend you an ear, ain't even pretending to careBut I tell a bitch I'll marry her if she'll bury herFace in my genital area, the original Richard RamirezCristhian Rivera, 'cause my lyrics never sit wellSo they wanna give me the chairLike a paraplegic, and it's scary, call it Hari Kari'Cause e'ry Tom and Dick and Harry carry a Merriam motherfuckin' dictionary on 'emSwearing up and down they can spit, this shit's hilariousIt's time to put these bitches in the obituary columnWe wouldn't see eye to eye with a staring problemGet the shaft like a steering column (Monster)Trigger happy, pack heat, but it's black inkEvil half of the Bad MeetsEvil, that means take a back seatTake it back to Fat Beats with a maxi singleLook at my rap sheet, what attracts these peopleIs my 'Gangsta Bitch' like Apache with a catchy jingleI stack chips, you barely got a half-eaten CheetoFill 'em with the venom and eliminate 'emOther words, I Minute Maid 'emI don't wanna hurt 'em, but I did, I'm in a fit of rageI'm murderin' again, nobody will evadeI'm finna kill 'em and dump all their fuckin' bodies in the lakeObliterating everything, incinerate a renegadeI'm here to make anybody who want it with the pen afraidBut don't nobody want it, but they're gonna get it anyway'Cause I'm beginnin' to feel like I'm mentally illI'm Attila, kill or be killed, I'm a killer bee, the vanilla gorillaYou're bringin' the killer within me outta meYou don't wanna be the enemy of the demon who entered meAnd be on the receivin' end of me, what stupidity it'd beEvery bit of me's the epitome of a spitterWhen I'm in the vicinity, motherfucker, you better duckOr you finna be dead the minute you run into meA hundred percent of you is a fifth of a percent of meI'm 'bout to fuckin' finish you, bitch, I'm unfadableYou wanna battle, I'm available, I'm blowin' up like an inflatableI'm undebatable, I'm unavoidable, I'm unevadableI'm on the toilet bowl, I got a trailer full of money and I'm paid in fullI'm not afraid to pull a—Man, stopLook what I'm plannin', haha"
"31",7,"eminem","Music to get murdered by","I Will","And I don't think that I can stop it (Here it comes)I do my best to try to block it (Redrum)I've been sipping on like, vodka (Head's numb)I'm blacking out, you better watch it (It's bedlam)I thought I heard a voice in my head that said ""Kill""I had no other choice that was left except fillMy pencil full of poisonous lead, the devilHe wants me to murder this beat, so I willHe told me there are doubters who question my skillThey wanna put my style to the test, am I stillThe best? They want the crown on my head, I said, ""ChillIf you want me to murder this beat, then I will""I'm a long way away from where you are in skillForeign wheels, my bitch wearin' four-inch heelsShe on the orange pillAnd she about to start taking off layers like orange peelsSacha Baron Cohen, Ferrell, where am I going with this?Oh yeah, I bar at willAnd when you throw the iron in it, I'm all that stillThe truth for real, I'm real true, call that trillThis is my house, this place is minePosted on any corner on any coast I'm onYou niggas need to leave that lean, Henny, and coke aloneTerror to the business, married to the strippers, T-PainStudent of the game pre-Kane, you niggas Post MaloneElite beatboxer minus the rapsRollin' with at least three choppers, Ryan is thatI literally keep three shottasI'm lyrically James Todd, Tariq Trotter minus the capI thought I heard a voice in my head that said ""Kill""I had no other choice that was left except fillMy pencil full of poisonous lead, the devilHe wants me to murder this beat, so I willHe told me there are doubters who question my skillThey wanna put my style to the test, am I stillThe best? They want the crown on my head, I said, ""ChillIf you want me to murder this beat, then I will""Manslaughter goons under the moonlightJohn Wilkes, that's who I'm in the booth likeAyy, bruh, I go ham for dead presidentsAnd everything I record is over your head like a boom micWhy would you irrelevant fucks want to rebel against usKnowing your Smith & Wesson has never been clutched?Knowing you never been rushed by the most ignorant niggas inventedThem niggas that'll send you to the dentist to get a whole row of elephant tusksYour teeth gone like you been on some meth and some dust foreverI see you, my niggas call me ""The Enemy Watcher""The minute we spot ya, the semi'll pop, nigga, we got yaI'm livin' to conquer, remember the mantra, I'm grippin' the launcherLike Em and the Doctor with no guilty conscienceI'm still shockin' like droppin' a boombox in bathwaterMore shockin' than a pissed off BlankaI just finished fuckin' a fish called WandaI'm finna wander off into yonderBeyond just mentally stronger, memory monsterI remember the sponsorin' thought that conquered his triple entendreYou the cross of a unicorn and The UnabomberQuit horsin' around in this building or you a gonerYour Willy Wonka persona won't help you any longerI'm Optimus, I make prime examples of mini TonkasHogtie your squad and go bonkersSpin, grab Denaun's guitar and Honky Tonk yaAll your bars subpar like good golfersI put a hole in one of you birdies with this Eagle and launch it (Pew)I thought I heard a voice in my head that said ""Kill""I had no other choice that was left except fillMy pencil full of poisonous lead, the devilHe wants me to murder this beat, so I willHe told me there are doubters who question my skillThey wanna put my style to the test, am I stillThe best? They want the crown on my head, I said, ""ChillIf you want me to murder this beat, then I will""Now this will probably be the most illest shit that I've ever saidGod bless the dead and let Biggie possess the pencil leadThey called me a sped and said that I had a messed up head'Cause I said, ""Motherfuck school,"" and instead went to special edSippin' Bacardi and lime I start to recollect on the timeThat I startled my mom and had her scared to deathWord to Method ManShe heard some Wu-Tang coming from towards the patioShe was like, ""What the heck was that?""She went to check on the noise and go inspect the deckThen I jumped out with a sword and yelled, ""Protect your neck""Now bow to the Lord, hold up, no, better yet, kneelBetter yet, get down on all fours and take a vow to alwaysRejoice in the sound of my voice, but you don't have a choiceJust a third of my will will overpower yoursUsing about a fourth to create the amount of forceIt'll take to knock out a horse like a tranq full of TylenolEnter my house of horrors with a thousand floorsGot a crown of thorns, but it won't fit around the hornsBut I'ma keep it a buck like a dollar storeI'm more than you bargained for and I am far more worseThan a forty-some bar Lord Jamar verseNothing means more than respect, so when I curseYou could say I swore to protectMy image, I have zero time or regard forA never-was, been claiming rap when it's not yoursIf it was anyone's house, G Rap and Rakim would be havin' you mop floorsRun-DMC would be havin' you cleanin' sinksYeah, your group was off the chain, but you were the weakest linkRest of these youngins of mineTime to start throwing some shade, this time I'm shutting the blinds'Cause when I'm looking at y'all, shit, it's no wonder it's whyI need a visor, 'cause y'all are just sons in my eyesBorn a cynic and more demented than an orphanage with a morgue up in itNext door to an abortion clinicNewborn infants tortured and tormentedWith their foreheads dented when they drop 'cause the floor's cementedTheir corpses get ornamentedThe coroner with a storage bin rentedTo store them in and the torsos of forty women reported missin'Distorted, twisted, this isn't no storybook endingThis is only the beginningSo, Lord, forgive me, I'm hearing voicesI can't ignore them anymore, they're winningI thought I heard a voice in my head that said ""Kill""I had no other choice that was left except fillMy pencil full of poisonous lead, the devilHe wants me to murder this beat, so I willHe told me there are doubters who question my skillThey wanna put my style to the test, am I stillThe best? They want the crown on my head, I said, ""ChillIf you want me to murder this beat, then I will""And I don't think that I can stop it (Here it comes)I do my best to try to block it (Redrum)I've been sipping on like, vodka (Head's numb)I'm blacking out, you better watch it (It's bedlam)"
"32",8,"eminem","Music to get murdered by","In Too Deep","""This could never work,"" is what we said at firstBut whatever this is, it's workingBut we're in two different worlds and (Yeah)I'm not your husband (Nah), you ain't my girlfriendAll I know is that (What?)When I'm with you, I'm a different person, yeahAnd I ain't never met a chick as perfectGirl, you're a ten, so here I am (Yeah)Laying here with her againThinking 'bout youShe's asleep, you're texting me around twoCrying face emoji, you say, ""This is me without you""We're sneaking out to meet at cheap hotel rooms orSex in the car, then I'll text you tomorrowDo I question it? Nah, no objection at all'Cause both of us are still involved, soAs I'm peelin' off, all I'm thinking 'bout isI'm not happy here (Nah), with herRather have you (Yeah), rather have me too'Cause you're not happy there (You're not happy there), with himRather have me (I know, but), we’re just in too deepYou're laying there with him, thinking 'bout meHe's asleep, you say, ""Let's meet around three""You went to leave the house, he caught you sneaking out, now he's freaking outYou thought he was sleepin' soundly, woahYou say you're going for a drive, you don't question himWhen he stumbles in, like, ""Where the fuck you've been?""Then you pump his ear with what he wants to hearTell him you love him, yeah, wipe each other's tearsBut it's been a couple years since we been doin' dirtYou or my girl, don't wanna see either of you get hurtBut now the lines are getting super blurredCan't tell if I'm cheating on her with you or cheating on you with herBut really, nobody's at fault, can't help who you loveHope they don't overhear us talk'Cause we both are getting sloppyProbably subconsciously part of me's hoping we get caught 'causeI'm not happy here (Nah), with herRather have you (Yeah), rather have me too'Cause you're not happy there (You're not happy there), with himRather have me (I know, but), we’re just in too deepWe're laying here with them, thinking 'bout us'Cause now when we get home, we get jealousOf each other being someone else'sCall us Long John Silver's 'cause we selfishBut I just wanna see yaDon't care if it's at the Ritz or Motel 6If I'm there with ya, rich or poorWhen I'm laying here with ya, it could be the kitchen floorI could stay in bed with ya starin' at ya 'til the morn'I just wanna be your secret lover, yeahI'd rather share ya than to not have you at allSo once a year or twice a month I'm here if you want itYeah, I'm open seasonAnd I'm always game, so I keep it a hundred, dear, haha'Cause we could never be each other's everythings, you got a wedding ringSo it's him instead of me, but I'll be your second string, now and forever becauseI'm not happy here (Nah), with herRather have you (Yeah), rather have me too'Cause you're not happy there (You're not happy there), with himRather have me (I know, but), we’re just in too deep (I'm in way too deep)"
